# timestamps [seconds],pts
8539.936478,0
8539.963144,1747
8539.985789,3231
8540.021594,5578
8540.053509,7669
8540.085945,9795
8540.121439,12121
8540.153364,14213
8540.189570,16586
8540.221595,18685
8540.253567,20780
8540.289500,23135
8540.321500,25232
8540.353457,27326
8540.389595,29695
8540.421586,31791
8540.457648,34154
8540.489548,36245
8540.521529,38341
8540.557636,40707
8540.589537,42798
8540.621579,44898
8540.657565,47256
8540.689499,49349
8540.725509,51709
8540.757590,53811
8540.789596,55909
8540.825507,58262
