videos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,movie.started,etRecord.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
ball-elongated-2.avi,0,0,0,1,0.16514439997263253,,0.04771770001389086,0.16514439997263253,0.0886158999055624,1.006149800028652,456582,001,2023-10-25_16h24.14.467,PFE,2023.2.3,59.984547974512395,2023-10-25 16h24.19.518670 +0200,
spot-elongated-1.avi,0,1,1,4,1.4104816999752074,,1.1085316999815404,1.4104816999752074,0.361108599929139,2.0091738998889923,456582,001,2023-10-25_16h24.14.467,PFE,2023.2.3,59.984547974512395,2023-10-25 16h24.19.518670 +0200,
ball-original.avi,0,2,2,2,2.422566100023687,,2.1286462999414653,2.422566100023687,0.37402480002492666,3.0067553999833763,456582,001,2023-10-25_16h24.14.467,PFE,2023.2.3,59.984547974512395,2023-10-25 16h24.19.518670 +0200,
spot-original.avi,0,3,3,6,3.4374605999328196,,3.141081899870187,3.4374605999328196,0.38665249990299344,4.010137599892914,456582,001,2023-10-25_16h24.14.467,PFE,2023.2.3,59.984547974512395,2023-10-25 16h24.19.518670 +0200,
spot-elongated-2.avi,0,4,4,5,4.402517799986526,,4.114314100006595,4.402517799986526,0.3536928000394255,5.006890499964356,456582,001,2023-10-25_16h24.14.467,PFE,2023.2.3,59.984547974512395,2023-10-25 16h24.19.518670 +0200,
spot-swept.avi,0,5,5,7,5.412266399944201,,5.1216942998580635,5.412266399944201,0.36300050001591444,6.0087224000599235,456582,001,2023-10-25_16h24.14.467,PFE,2023.2.3,59.984547974512395,2023-10-25 16h24.19.518670 +0200,
,,,,,6.412443700013682,,6.13280489994213,6.412443700013682,0.366713099880144,,,,,,,,,
