videos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,movie.started,etRecord.started,etRecord.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Video/spot-elongated-2.avi,0,0,0,5,0.13445379999939178,,0.01919330000055197,0.13445379999939178,0.06556869999985793,1.119050999999672,1.3667846999996982,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-original.avi,0,1,1,2,1.8003931000002922,,1.5039250000008906,1.8003931000002922,0.2338393999998516,1.2793414999996457,3.018420700000206,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-elongated-2.avi,0,2,2,1,3.4331101999996463,,3.132564999999886,3.4331101999996463,0.234068899999329,1.2993540999996185,4.64857640000082,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-swept_volume.avi,0,3,3,3,5.048113200000444,,4.761142200000904,5.048113200000444,0.23402189999978873,1.2707479000000603,6.2835398000006535,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/spot-elongated-1.avi,0,4,4,4,6.683143100000962,,6.389805700000579,6.683143100000962,0.23409989999890968,1.2920918999989226,7.898640299999897,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/spot-swept.avi,0,5,5,7,8.314871900000071,,8.018307500000446,8.314871900000071,0.23403739999957907,1.2827625000008993,9.53374249999979,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/spot-original.avi,0,6,6,6,9.950336199999583,,9.646909400000368,9.950336199999583,0.23409210000136227,1.3016222000005655,11.148545800000647,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-elongated-1.avi,0,7,7,0,11.564620499999364,,11.275470900000073,11.564620499999364,0.23402559999885852,1.2743869999994786,12.781959600000846,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-swept_volume.avi,1,0,8,3,13.181438999999955,,12.903985500001,13.181438999999955,0.22914750000018103,1.2612057999995159,14.4152567000001,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-original.avi,1,1,9,2,14.816851300000053,,14.527630399999907,14.816851300000053,0.22900409999965632,1.2721796999994694,16.03150319999986,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-elongated-1.avi,1,2,10,0,16.43158940000103,,16.151209199999357,16.43158940000103,0.2301552000008087,1.2639684000005218,17.66519909999988,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/ball-elongated-2.avi,1,3,11,1,18.066632500000196,,17.77572710000095,18.066632500000196,0.22908970000025874,1.2894608000005974,19.28193640000063,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/spot-elongated-1.avi,1,4,12,4,19.681715300001088,,19.399314800000866,19.681715300001088,0.22905639999953564,1.2659258999992744,20.916404100000364,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/spot-swept.avi,1,5,13,7,21.31684959999984,,21.022914799999853,21.31684959999984,0.22905089999949269,1.2922840999999607,22.53186000000096,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/spot-original.avi,1,6,14,6,22.93171269999948,,22.646526900000026,22.93171269999948,0.22915649999958987,1.2687201999997342,24.15196939999987,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
Video/spot-elongated-2.avi,1,7,15,5,24.56682929999988,,24.27013269999952,24.56682929999988,0.22914990000026592,1.2815140999991854,25.767037199999322,217210,001,2023-11-10_13h36.01.745,PFE,2023.2.3,60.79984629798607,2023-11-10 13h36.06.999887 +0100,
