21.2343 	EXP 	movie: autoDraw = False
21.2343 	EXP 	movie: autoDraw = True
22.2280 	EXP 	eyetracker.setRecordingState(False)
22.5814 	EXP 	New trial (rep=1, index=6): OrderedDict([('videos', 'Video/ball-elongated-2.avi')])
22.8504 	EXP 	eyetracker.clearEvents()
22.8510 	EXP 	eyetracker.setRecordingState(True)
22.8655 	EXP 	movie: autoDraw = False
22.8655 	EXP 	movie: autoDraw = True
23.8617 	EXP 	eyetracker.setRecordingState(False)
24.2044 	EXP 	New trial (rep=1, index=7): OrderedDict([('videos', 'Video/ball-swept_volume.avi')])
24.4663 	EXP 	eyetracker.clearEvents()
24.4667 	EXP 	eyetracker.setRecordingState(True)
24.4730 	EXP 	movie: autoDraw = False
24.4730 	EXP 	movie: autoDraw = True
25.4613 	EXP 	eyetracker.setRecordingState(False)
25.8245 	EXP 	movie: autoDraw = False
25.8246 	EXP 	PFE: status = STOPPED
25.8453 	EXP 	window1: mouseVisible = True
