21.2201 	EXP 	eyetracker.setRecordingState(True)
21.2265 	EXP 	movie: autoDraw = False
21.2265 	EXP 	movie: autoDraw = True
22.2090 	EXP 	eyetracker.setRecordingState(False)
22.5744 	EXP 	New trial (rep=1, index=6): OrderedDict([('videos', 'Video/ball-swept_volume.avi')])
22.8438 	EXP 	eyetracker.clearEvents()
22.8442 	EXP 	eyetracker.setRecordingState(True)
22.8507 	EXP 	movie: autoDraw = False
22.8507 	EXP 	movie: autoDraw = True
23.8412 	EXP 	eyetracker.setRecordingState(False)
24.1990 	EXP 	New trial (rep=1, index=7): OrderedDict([('videos', 'Video/spot-swept.avi')])
24.4597 	EXP 	eyetracker.clearEvents()
24.4600 	EXP 	eyetracker.setRecordingState(True)
24.4663 	EXP 	movie: autoDraw = False
24.4663 	EXP 	movie: autoDraw = True
25.4584 	EXP 	eyetracker.setRecordingState(False)
25.8182 	EXP 	movie: autoDraw = False
25.8182 	EXP 	PFE: status = STOPPED
25.8400 	EXP 	window1: mouseVisible = True
