22.2049 	EXP 	eyetracker.setRecordingState(False)
22.5540 	EXP 	New trial (rep=1, index=6): OrderedDict([('videos', 'spot-swept.avi')])
22.8158 	EXP 	eyetracker.clearEvents()
22.8160 	EXP 	eyetracker.setRecordingState(True)
22.8254 	EXP 	movie: autoDraw = False
22.8254 	EXP 	movie: autoDraw = True
23.8232 	EXP 	eyetracker.setRecordingState(False)
24.1708 	EXP 	New trial (rep=1, index=7): OrderedDict([('videos', 'ball-elongated-2.avi')])
24.4392 	EXP 	eyetracker.clearEvents()
24.4395 	EXP 	eyetracker.setRecordingState(True)
24.4475 	EXP 	movie: autoDraw = False
24.4475 	EXP 	movie: autoDraw = True
25.4414 	EXP 	eyetracker.setRecordingState(False)
25.7936 	EXP 	New trial (rep=2, index=0): OrderedDict([('videos', 'spot-swept.avi')])
26.0564 	EXP 	eyetracker.clearEvents()
26.0568 	EXP 	eyetracker.setRecordingState(True)
26.0646 	EXP 	movie: autoDraw = False
26.0646 	EXP 	movie: autoDraw = True
27.0571 	EXP 	eyetracker.setRecordingState(False)
27.4094 	EXP 	New trial (rep=2, index=1): OrderedDict([('videos', 'ball-elongated-1.avi')])
27.6702 	EXP 	eyetracker.clearEvents()
27.6707 	EXP 	eyetracker.setRecordingState(True)
27.6773 	EXP 	movie: autoDraw = False
27.6773 	EXP 	movie: autoDraw = True
28.6744 	EXP 	eyetracker.setRecordingState(False)
29.0249 	EXP 	New trial (rep=2, index=2): OrderedDict([('videos', 'ball-elongated-2.avi')])
29.2958 	EXP 	eyetracker.clearEvents()
29.2962 	EXP 	eyetracker.setRecordingState(True)
29.3029 	EXP 	movie: autoDraw = False
29.3029 	EXP 	movie: autoDraw = True
30.2896 	EXP 	eyetracker.setRecordingState(False)
30.6493 	EXP 	New trial (rep=2, index=3): OrderedDict([('videos', 'spot-elongated-2.avi')])
30.9142 	EXP 	eyetracker.clearEvents()
30.9145 	EXP 	eyetracker.setRecordingState(True)
30.9236 	EXP 	movie: autoDraw = False
30.9236 	EXP 	movie: autoDraw = True
31.9071 	EXP 	eyetracker.setRecordingState(False)
32.2681 	EXP 	New trial (rep=2, index=4): OrderedDict([('videos', 'ball-swept_volume.avi')])
32.5355 	EXP 	eyetracker.clearEvents()
32.5358 	EXP 	eyetracker.setRecordingState(True)
32.5429 	EXP 	movie: autoDraw = False
32.5429 	EXP 	movie: autoDraw = True
33.5395 	EXP 	eyetracker.setRecordingState(False)
33.8897 	EXP 	New trial (rep=2, index=5): OrderedDict([('videos', 'ball-original.avi')])
34.1649 	EXP 	eyetracker.clearEvents()
34.1653 	EXP 	eyetracker.setRecordingState(True)
