videos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,movie.started,etRecord.started,etRecord.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
spot-swept.avi,0,0,0,7,36.62523959996179,,36.399690199876204,36.62523959996179,0.06219820003025234,1.2197730999905616,37.7327097998932,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-elongated-1.avi,0,1,1,0,38.14916729996912,,37.8528485998977,38.14916729996912,0.23478669999167323,1.2803829999174923,39.364797699963674,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-original.avi,0,2,2,2,39.7813174999319,,39.483417900046334,39.7813174999319,0.24106500018388033,1.2818500001449138,40.99808769999072,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
spot-elongated-1.avi,0,3,3,4,41.43262979993597,,41.11955250008032,41.43262979993597,0.24047319986857474,1.296416699886322,42.63278739992529,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
spot-original.avi,0,4,4,6,43.04956309986301,,42.754053900018334,43.04956309986301,0.2286700000986457,1.2945807999931276,44.26479849987663,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
spot-elongated-2.avi,0,5,5,5,44.68131070001982,,44.377723899902776,44.68131070001982,0.24322089995257556,1.2887764999177307,45.89919460006058,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-swept_volume.avi,0,6,6,3,46.3324575999286,,46.015141000039876,46.3324575999286,0.2509005998726934,1.3162546998355538,47.54797549988143,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-elongated-2.avi,0,7,7,1,47.96460439986549,,47.66196840000339,47.96460439986549,0.24108560010790825,1.2877827000338584,49.182731200009584,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
spot-original.avi,1,0,8,6,49.599130699876696,,49.29785869992338,49.599130699876696,0.22851520008407533,1.300291399937123,50.79800559999421,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
spot-elongated-1.avi,1,1,9,4,51.19783399999142,,50.922904199920595,51.19783399999142,0.22169479983858764,1.2597593998070806,52.415920099942014,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
spot-swept.avi,1,2,10,7,52.81455749995075,,52.540478399954736,52.81455749995075,0.22328849998302758,1.2580603999085724,54.031397599959746,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-original.avi,1,3,11,2,54.46579229994677,,54.158853200031444,54.46579229994677,0.23889320017769933,1.305723300203681,55.681453299941495,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-swept_volume.avi,1,4,12,3,56.06449869996868,,55.79334559990093,56.06449869996868,0.22174130007624626,1.256204599980265,57.28271419997327,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-elongated-2.avi,1,5,13,1,57.71579480008222,,57.40888660005294,57.71579480008222,0.23617230006493628,1.3059213000815362,58.91478640004061,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
ball-elongated-1.avi,1,6,14,0,59.33127709990367,,59.04035859997384,59.33127709990367,0.22881049988791347,1.27567039988935,60.549086099956185,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
spot-elongated-2.avi,1,7,15,5,60.94961400004104,,60.664133300073445,60.94961400004104,0.22340709995478392,1.2842733999714255,62.16465920000337,552901,001,2023-10-25_16h30.18.741,PFE,2023.2.3,60.03287402849699,2023-10-25 16h30.23.393616 +0200,
