videos,first_frame,sessions.thisRepN,sessions.thisTrialN,sessions.thisN,sessions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start_exp.started,etRecord.started,etRecord.stopped,start_exp.stopped,focus.started,image.started,focus.stopped,trial.started,movie.started,trial.stopped,questions.started,key_resp.started,text.started,questions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,end_exp.started,etRecord_2.started,etRecord_2.stopped,end_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
video/Sphere_init1_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init1_speed1_perturbation_original_0001-0150.jpg,0,0,0,0,0,11,11,14,98.7220414999997,,,,,,98.68093240000007,98.7220414999997,99.68875900000012,99.68876670000009,99.97184289999996,106.18860479999967,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_delta1_0001-0150.jpg,0,0,0,0,0,12,12,21,106.33869539999978,,,,,,106.30592789999992,106.33869539999978,107.32203849999996,107.32204640000009,107.58858519999967,113.80504679999967,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1/original/0001-0150.avi,video/First_frame/Sphere_init4_speed1_original_0001-0150.jpg,0,0,0,0,0,13,13,11,113.95532409999987,,,,,,113.92495999999983,113.95532409999987,114.9387598999997,114.93876749999981,115.2052764,121.42198469999994,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1/delta2/0001-0150.avi,video/First_frame/Sphere_init1_speed1_delta2_0001-0150.jpg,0,0,0,0,0,14,14,1,121.57200449999982,,,,,,121.54287350000004,121.57200449999982,122.55539980000003,122.55540650000012,122.82203789999994,129.03863869999986,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_original_0001-0150.jpg,0,0,0,0,0,15,15,23,129.20505150000008,,,,,,129.16593650000004,129.20505150000008,130.1719737999997,130.17198099999996,130.43861419999985,136.65554969999994,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init3_speed1_perturbation_original_0001-0150.jpg,0,0,0,0,0,16,16,20,136.82201159999977,,,,,,136.78198169999996,136.82201159999977,137.78872809999984,137.78873589999966,138.0553716999998,144.2882765999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init3_speed1_delta1_0001-0150.jpg,0,0,0,0,0,17,17,6,144.4386387999998,,,,,,144.4009633999999,144.4386387999998,145.40535920000002,145.4053660999998,145.6886558000001,151.90567729999975,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init3_speed1_perturbation_delta2_0001-0150.jpg,0,0,0,0,0,18,18,19,152.0553073000001,,,,,,152.0238761999999,152.0553073000001,153.03871119999985,153.0387185999998,153.30530980000003,159.52168630000006,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init2_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init2_speed1_delta1_0001-0150.jpg,0,0,0,0,0,19,19,3,159.6719210000001,,,,,,159.64194659999976,159.6719210000001,160.65534489999982,160.65535150000005,160.92193769999994,167.13890219999985,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init1_speed1_perturbation_delta1_0001-0150.jpg,0,0,0,0,0,20,20,12,167.28852419999976,,,,,,167.26291869999977,167.28852419999976,168.2720362,168.2720436999998,168.53860769999983,174.7552442000001,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
