# timestamps [seconds],pts
-875553.594047,0
-875553.549235,2936
-875553.520822,4798
-875553.490514,6785
-875553.454620,9137
-875553.422650,11232
-875553.386544,13598
-875553.354651,15688
-875553.322535,17793
-875553.286649,20145
-875553.254679,22240
-875553.222449,24352
-875553.186450,26711
-875553.154515,28804
-875553.118565,31160
-875553.086582,33256
-875553.054674,35347
-875553.018548,37715
-875552.986533,39813
-875552.954571,41908
-875552.918647,44262
-875552.886659,46358
-875552.850550,48725
-875552.818553,50821
-875552.786495,52922
-875552.750734,55266
-875552.718611,57371
-875552.686680,59464
