key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,21.11.2023
Export Time,16:30:08
Frame Index Range:,0 - 27
Relative Time Range,00:00.000 - 00:00.907
Absolute Time Range,-875553.5940469999 - -875552.6866799999
