# timestamps [seconds],pts
17465.230055,0
17465.262958,2156
17465.281971,3402
17465.309520,5207
17465.345511,7566
17465.377413,9657
17465.409435,11755
17465.445080,14091
17465.477284,16202
17465.513169,18553
17465.545201,20653
17465.577281,22755
17465.613417,25123
17465.645345,27216
17465.677384,29315
17465.713251,31666
17465.745189,33759
17465.781471,36137
17465.813446,38232
17465.845383,40325
17465.881407,42686
17465.913401,44783
17465.945173,46865
17465.981177,49224
17466.013028,51312
17466.049172,53680
17466.081568,55803
17466.113575,57901
17466.149245,60239
17466.181259,62337
17466.213191,64429
17466.249545,66812
17466.281525,68908
17466.317227,71247
17466.349170,73341
17466.381166,75438
17466.417277,77804
17466.449228,79898
17466.481221,81995
17466.517231,84355
17466.549117,86444
17466.585237,88811
17466.617454,90923
17466.649182,93002
17466.685549,95385
17466.717459,97477
17466.753196,99819
17466.785540,101938
17466.817457,104030
17466.853527,106394
17466.885243,108472
17466.917132,110562
17466.953167,112924
17466.985272,115028
17467.021244,117385
17467.053401,119492
17467.085403,121590
17467.121553,123959
17467.153479,126051
17467.185576,128155
17467.221200,130489
17467.253423,132601
17467.289620,134973
17467.321306,137050
17467.353167,139138
17467.389023,141487
17467.421168,143594
17467.453422,145708
17467.489504,148072
17467.521250,150153
17467.557202,152509
17467.589363,154617
17467.621511,156724
17467.657117,159057
17467.689258,161163
17467.721254,163260
17467.757538,165638
17467.789337,167722
17467.825295,170079
17467.857200,172169
17467.889267,174271
17467.925204,176626
17467.957352,178733
17467.989227,180822
17468.025443,183195
17468.058010,185330
17468.093414,187650
17468.125237,189735
17468.157354,191840
17468.193533,194211
17468.225571,196311
17468.257384,198396
17468.293384,200755
17468.325166,202838
17468.361228,205201
17468.393386,207308
17468.425304,209400
17468.461456,211769
17468.493293,213856
17468.529221,216210
17468.561411,218320
17468.593475,220421
17468.629629,222791
17468.661621,224887
17468.693579,226982
17468.729315,229324
17468.761125,231408
17468.797028,233761
17468.829200,235869
17468.861364,237977
17468.897531,240348
17468.929464,242440
17468.961371,244531
17468.997182,246878
17469.029061,248967
17469.065405,251349
17469.097505,253453
17469.129525,255551
17469.165347,257899
17469.197271,259991
17469.229161,262081
17469.265208,264443
17469.297220,266541
17469.333206,268900
17469.365304,271003
17469.397332,273102
17469.433278,275458
17469.465123,277545
17469.497443,279663
17469.533408,282020
17469.565362,284114
17469.601519,286483
17469.633483,288578
17469.665248,290660
17469.701338,293025
17469.733235,295115
17469.765176,297209
17469.801513,299590
17469.833460,301684
17469.869449,304042
17469.901301,306130
17469.933339,308229
17469.969291,310585
17470.001506,312697
17470.037307,315043
17470.069353,317143
17470.101440,319246
17470.137084,321582
17470.169263,323690
17470.201372,325795
17470.237225,328144
17470.269433,330255
17470.305213,332600
17470.337246,334699
17470.369211,336794
17470.405411,339166
17470.437382,341262
17470.469330,343355
17470.505437,345722
17470.537296,347810
17470.573370,350174
17470.605182,352258
17470.637094,354350
17470.673157,356713
17470.705365,358824
17470.737495,360930
17470.773322,363278
17470.805394,365379
17470.841520,367747
17470.873495,369842
17470.905528,371942
17470.941383,374291
17470.973302,376383
17471.005344,378483
17471.041679,380864
17471.073292,382936
17471.109302,385296
17471.141292,387392
17471.173197,389483
17471.209413,391857
17471.241215,393941
17471.273528,396059
17471.309573,398421
17471.341336,400502
17471.377370,402864
17471.409543,404972
17471.441405,407060
17471.477498,409426
