key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.11.2023
Export Time,15:21:09
Frame Index Range:,0 - 187
Relative Time Range,00:00.000 - 00:06.247
Absolute Time Range,17465.230055 - 17471.477498
