# timestamps [seconds],pts
8528.542860,0
8528.569410,1739
8528.593459,3316
8528.625349,5405
8528.661499,7775
8528.693460,9869
8528.725443,11965
8528.761555,14332
8528.793407,16419
8528.829611,18792
8528.861627,20890
8528.893524,22980
8528.929478,25337
8528.961457,27432
8528.993373,29524
8529.029581,31897
8529.061565,33993
8529.097510,36348
8529.129521,38446
8529.161434,40538
8529.197693,42914
8529.229672,45010
8529.261595,47102
8529.297545,49458
8529.329607,51559
8529.365663,53922
8529.397602,56015
8529.429705,58119
