key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.11.2023
Export Time,15:21:19
Frame Index Range:,0 - 187
Relative Time Range,00:00.000 - 00:06.251
Absolute Time Range,17480.474206 - 17486.725324
