# timestamps [seconds],pts
17427.186186,0
17427.210571,1598
17427.241360,3615
17427.277571,5988
17427.309535,8083
17427.341438,10174
17427.377346,12527
17427.411199,14746
17427.445417,16988
17427.477553,19094
17427.509384,21180
17427.545383,23539
17427.577347,25634
17427.609207,27722
17427.645051,30071
17427.677247,32181
17427.713207,34538
17427.745290,36640
17427.777291,38738
17427.813219,41092
17427.845181,43187
17427.877333,45294
17427.913584,47670
17427.945372,49753
17427.981190,52100
17428.013167,54196
17428.045178,56294
17428.081201,58654
17428.113278,60756
17428.149120,63105
17428.181216,65209
17428.213266,67309
17428.249223,69666
17428.281371,71772
17428.313284,73864
17428.349301,76224
17428.381353,78325
17428.417338,80683
17428.449063,82762
17428.481299,84875
17428.517263,87232
17428.549061,89316
17428.581145,91418
17428.617209,93782
17428.649134,95874
17428.685302,98244
17428.717213,100335
17428.749209,102432
17428.785543,104813
17428.817528,106909
17428.849302,108992
17428.885489,111363
17428.917237,113444
17428.953505,115821
17428.985506,117918
17429.017363,120006
17429.053230,122356
17429.085361,124462
17429.117220,126550
17429.153292,128914
17429.185321,131013
17429.221291,133370
17429.253511,135482
17429.285514,137579
17429.321224,139919
17429.353283,142020
17429.385460,144129
17429.421332,146480
17429.453475,148586
17429.489182,150926
17429.521176,153023
17429.553187,155121
17429.589273,157486
17429.621111,159572
17429.657217,161939
17429.689389,164047
17429.721313,166139
17429.757273,168496
17429.789207,170588
17429.821107,172679
17429.857399,175057
17429.889514,177162
17429.925285,179506
17429.957175,181596
17429.988996,183682
17430.025200,186054
17430.057379,188163
17430.089313,190256
17430.125420,192622
17430.157642,194734
17430.193395,197077
17430.225370,199172
17430.257192,201258
17430.293348,203627
17430.325507,205735
17430.357464,207829
17430.393355,210181
17430.425287,212274
17430.461195,214627
17430.493221,216726
17430.525244,218825
17430.561239,221184
17430.593342,223287
17430.625441,225391
17430.661280,227740
17430.693434,229847
17430.729454,232208
17430.761477,234306
17430.793376,236397
17430.829208,238745
17430.861462,240859
17430.893201,242939
17430.929268,245302
17430.961216,247396
17430.997163,249752
17431.029324,251860
17431.061382,253960
17431.097339,256317
17431.129196,258405
17431.161271,260507
17431.197200,262861
17431.229194,264958
17431.265247,267321
17431.297288,269421
17431.329196,271512
17431.365159,273868
17431.397178,275967
17431.433173,278326
17431.465211,280425
17431.497524,282543
17431.533212,284882
17431.565217,286979
17431.597133,289071
17431.633523,291456
17431.665438,293547
17431.701356,295901
17431.733183,297987
17431.765192,300085
17431.801303,302451
17431.833353,304552
17431.865229,306641
17431.901307,309005
17431.933202,311095
17431.969136,313450
17432.001308,315559
17432.033362,317659
17432.069373,320019
17432.101387,322117
17432.133322,324210
17432.169222,326563
17432.201319,328666
17432.237248,331021
17432.269370,333126
17432.301305,335219
17432.337093,337564
17432.369208,339669
17432.401412,341779
17432.437213,344126
17432.469254,346225
17432.505486,348600
17432.537266,350683
17432.569188,352775
17432.605194,355134
17432.637175,357230
17432.669334,359338
17432.705495,361707
17432.737312,363793
17432.773141,366141
17432.805259,368245
17432.837253,370342
17432.873249,372701
17432.905395,374808
17432.941373,377166
17432.973322,379259
17433.005391,381361
17433.041670,383739
17433.073442,385821
17433.105374,387913
17433.141392,390274
17433.173395,392371
17433.209424,394732
17433.241340,396824
17433.273238,398914
17433.309241,401274
17433.341264,403373
17433.373141,405462
17433.409326,407833
