# timestamps [seconds],pts
8541.583027,0
8541.610732,1815
8541.633647,3317
8541.661486,5141
8541.697499,7501
8541.729497,9598
8541.761478,11694
8541.797512,14056
8541.829476,16151
8541.861649,18259
8541.897551,20612
8541.929569,22710
8541.965606,25072
8541.997518,27163
8542.029517,29260
8542.065541,31621
8542.097531,33718
8542.129526,35814
8542.165503,38172
8542.197549,40272
8542.233378,42620
8542.265554,44729
8542.297517,46824
8542.334439,49243
8542.365610,51286
8542.397637,53385
8542.433518,55736
8542.465590,57838
