# timestamps [seconds],pts
-875538.315560,0
-875538.284156,2058
-875538.256467,3872
-875538.232531,5441
-875538.206554,7143
-875538.174335,9255
-875538.142572,11336
-875538.106575,13695
-875538.074554,15794
-875538.042535,17892
-875538.006671,20243
-875537.974492,22351
-875537.937468,24778
-875537.906563,26803
-875537.874544,28901
-875537.838648,31254
-875537.806569,33356
-875537.770445,35724
-875537.738406,37823
-875537.706430,39919
-875537.670688,42261
-875537.638649,44361
-875537.606611,46460
-875537.570472,48829
-875537.538451,50927
-875537.502658,53273
-875537.470730,55365
-875537.438810,57457
