# timestamps [seconds],pts
17495.690454,0
17495.715992,1673
17495.737452,3080
17495.773397,5435
17495.805472,7537
17495.837260,9620
17495.873214,11977
17495.905189,14072
17495.937212,16171
17495.973193,18529
17496.005087,20619
17496.041583,23011
17496.073539,25105
17496.105526,27201
17496.141185,29538
17496.173363,31647
17496.205627,33761
17496.241587,36118
17496.273464,38207
17496.309427,40564
17496.341189,42645
17496.373086,44736
17496.409203,47103
17496.441322,49208
17496.473385,51309
17496.509659,53686
17496.541244,55756
17496.577622,58140
17496.609319,60217
17496.641445,62323
17496.677567,64690
17496.709620,66791
17496.741433,68875
17496.777267,71224
17496.809220,73318
17496.845081,75668
17496.877152,77770
17496.909342,79879
17496.945260,82233
17496.977307,84333
17497.009475,86442
17497.045270,88787
17497.077302,90887
17497.113489,93258
17497.145434,95352
17497.177492,97453
17497.213161,99790
17497.245282,101895
17497.281154,104246
17497.313256,106350
17497.345204,108444
17497.381340,110812
17497.413346,112909
17497.445282,115002
17497.481325,117364
17497.513370,119464
17497.549242,121815
17497.581272,123914
17497.613293,126013
17497.649353,128376
17497.681261,130467
17497.713385,132572
17497.749141,134916
17497.781162,137014
17497.817308,139383
17497.849448,141489
17497.881517,143591
17497.917305,145936
17497.949347,148036
17497.981208,150124
17498.017531,152504
17498.049374,154591
17498.085410,156953
17498.117367,159047
17498.149288,161139
17498.185383,163505
17498.217246,165593
17498.249096,167680
17498.285369,170057
17498.317382,172155
17498.353128,174498
17498.385484,176618
17498.417393,178709
17498.453526,181077
17498.485557,183177
17498.517525,185272
17498.553291,187616
17498.585401,189720
17498.621343,192075
17498.653342,194172
17498.685319,196268
17498.721144,198616
17498.753154,200714
17498.785500,202833
17498.821202,205173
17498.853331,207279
17498.889500,209649
17498.921150,211723
17498.953384,213836
17498.989129,216178
17499.021171,218278
17499.057287,220645
17499.089330,222745
17499.121140,224830
17499.157208,227193
17499.189048,229280
17499.221222,231388
17499.257237,233749
17499.289433,235859
17499.325403,238216
17499.357368,240311
17499.389385,242409
17499.425424,244771
17499.457130,246849
17499.489308,248957
17499.525422,251324
17499.557390,253419
17499.593270,255771
17499.625150,257860
17499.657049,259950
17499.693178,262318
17499.725365,264427
17499.757257,266517
17499.793417,268887
17499.825486,270989
17499.861582,273354
17499.893463,275444
17499.925432,277539
17499.961386,279895
17499.993447,281996
17500.025473,284095
17500.061348,286446
17500.093294,288540
17500.129037,290882
17500.161164,292987
17500.193197,295087
17500.229399,297459
17500.261494,299563
17500.293453,301657
17500.329213,304001
17500.361287,306103
17500.397359,308467
17500.429369,310564
17500.461326,312659
17500.497385,315022
17500.529181,317105
17500.565096,319459
17500.597075,321555
17500.629116,323655
17500.665189,326019
17500.697422,328131
17500.729229,330216
17500.765402,332586
17500.797076,334662
17500.833504,337049
17500.865347,339136
17500.897506,341244
17500.933162,343580
17500.965260,345684
17500.997041,347767
17501.033231,350138
17501.065043,352223
17501.101285,354598
17501.133476,356708
17501.165343,358796
17501.201411,361160
17501.233372,363255
17501.265101,365334
17501.301480,367718
17501.333438,369812
17501.369395,372169
17501.401421,374268
17501.433481,376369
17501.469327,378718
17501.501339,380816
17501.533196,382904
17501.569166,385261
17501.601416,387374
17501.637181,389718
17501.669397,391830
17501.701283,393919
17501.737378,396285
17501.769360,398381
17501.801406,400481
17501.837139,402823
17501.869386,404936
17501.905555,407306
17501.937100,409373
