# timestamps [seconds],pts
17541.368321,0
17541.403153,2282
17541.423212,3597
17541.445188,5037
17541.481298,7403
17541.513361,9505
17541.545259,11595
17541.581230,13952
17541.613296,16054
17541.645276,18150
17541.681254,20508
17541.713251,22604
17541.749175,24959
17541.781058,27048
17541.813070,29146
17541.849095,31507
17541.881504,33631
17541.913452,35725
17541.949219,38069
17541.981221,40166
17542.017408,42537
17542.049377,44633
17542.081576,46743
17542.117300,49084
17542.149165,51172
17542.181112,53266
17542.217248,55634
17542.249088,57721
17542.285540,60109
17542.317363,62195
17542.349373,64293
17542.385406,66654
17542.417240,68740
17542.453561,71121
17542.485493,73213
17542.517500,75311
17542.553350,77660
17542.585379,79759
17542.617274,81850
17542.653266,84208
17542.685199,86301
17542.721330,88669
17542.753411,90771
17542.785531,92876
17542.821150,95211
17542.853439,97327
17542.885334,99417
17542.921466,101785
17542.953375,103876
17542.989143,106220
17543.021128,108316
17543.053436,110434
17543.089260,112781
17543.121153,114871
17543.153154,116969
17543.189151,119328
17543.221266,121432
17543.257175,123786
17543.289355,125894
17543.321314,127989
17543.357450,130357
17543.389400,132451
17543.421377,134547
17543.457109,136888
17543.489280,138997
17543.525330,141359
17543.557245,143451
17543.589054,145535
17543.625240,147907
17543.657402,150014
17543.689304,152105
17543.725315,154465
17543.757368,156566
17543.793462,158931
17543.825435,161026
17543.857491,163127
17543.893275,165472
17543.925301,167571
17543.957295,169668
17543.993300,172027
17544.025343,174127
17544.061209,176478
17544.093259,178578
17544.125266,180676
17544.161237,183033
17544.193476,185146
17544.229230,187489
17544.261463,189602
17544.293492,191701
17544.329241,194043
17544.361224,196139
17544.393370,198246
17544.429251,200598
17544.461351,202701
17544.497260,205055
17544.529149,207144
17544.561177,209243
17544.597202,211604
17544.629177,213700
17544.661373,215810
17544.697357,218168
17544.729244,220258
17544.765259,222618
17544.797168,224709
17544.829189,226807
17544.865380,229179
17544.897407,231278
17544.929402,233375
17544.965165,235719
17544.997097,237811
17545.033303,240184
17545.065219,242276
17545.097305,244378
17545.133322,246739
17545.165437,248843
17545.197390,250938
17545.233410,253298
17545.265121,255376
17545.301480,257759
17545.333255,259841
17545.365506,261955
17545.401392,264307
17545.433227,266393
17545.465190,268488
17545.501366,270859
17545.533205,272945
17545.569275,275309
17545.601421,277416
17545.633381,279510
17545.669364,281868
17545.701391,283967
17545.737372,286325
17545.769300,288418
17545.801454,290525
17545.837264,292872
17545.869276,294970
17545.901152,297059
17545.937089,299414
17545.969175,301516
17546.005390,303890
17546.037318,305982
17546.069484,308090
17546.105582,310456
17546.137221,312529
17546.169291,314631
17546.205381,316996
17546.237354,319092
17546.273366,321452
17546.305379,323550
17546.337288,325641
17546.373208,327995
17546.405084,330084
17546.437003,332176
17546.473356,334558
17546.505404,336658
17546.541176,339003
17546.573158,341098
17546.605394,343211
17546.641498,345577
17546.673479,347673
17546.705532,349774
17546.741321,352119
17546.773213,354209
17546.809183,356566
17546.841245,358668
17546.873225,360763
17546.909448,363137
17546.941348,365228
17546.973381,367327
17547.009388,369687
17547.041375,371783
17547.077505,374151
17547.109474,376246
17547.141308,378332
17547.177269,380689
17547.209324,382790
17547.245386,385153
17547.277348,387248
17547.309216,389336
17547.345106,391688
17547.377278,393796
17547.409503,395908
17547.445144,398244
17547.477375,400356
17547.513537,402726
17547.545461,404818
17547.577382,406910
17547.613178,409256
