key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.11.2023
Export Time,15:21:47
Frame Index Range:,0 - 188
Relative Time Range,00:00.000 - 00:06.272
Absolute Time Range,17526.125039 - 17532.397076
