# timestamps [seconds],pts
17389.121553,0
17389.146157,1612
17389.173266,3389
17389.209273,5748
17389.241353,7851
17389.273194,9937
17389.309191,12296
17389.341160,14391
17389.377322,16761
17389.409395,18863
17389.441357,20958
17389.477462,23324
17389.509459,25421
17389.545326,27771
17389.577413,29874
17389.609487,31976
17389.645258,34321
17389.677374,36425
17389.709365,38522
17389.745169,40868
17389.777160,42965
17389.813283,45332
17389.845350,47434
17389.877389,49533
17389.913283,51886
17389.945293,53983
17389.977337,56083
17390.013504,58454
17390.045432,60546
17390.081354,62900
17390.113434,65002
17390.145159,67082
17390.181339,69453
17390.213036,71530
17390.245127,73633
17390.281207,75997
17390.313423,78109
17390.349181,80452
17390.381189,82550
17390.413234,84650
17390.449354,87017
17390.481565,89128
17390.513570,91225
17390.549361,93571
17390.581195,95657
17390.617268,98021
17390.649194,100113
17390.681251,102214
17390.717201,104570
17390.749128,106663
17390.781329,108773
17390.817190,111123
17390.849164,113218
17390.885391,115593
17390.917352,117687
17390.949370,119785
17390.985405,122147
17391.017306,124238
17391.053490,126609
17391.085496,128707
17391.117380,130796
17391.153162,133141
17391.185310,135248
17391.217229,137340
17391.253322,139705
17391.285327,141802
17391.321324,144161
17391.353494,146270
17391.385567,148372
17391.421164,150705
17391.453358,152814
17391.485382,154913
17391.521370,157272
17391.553386,159370
17391.589364,161727
17391.621046,163804
17391.653164,165909
17391.689159,168268
17391.721158,170365
17391.753287,172470
17391.789282,174829
17391.821348,176931
17391.857148,179277
17391.889289,181383
17391.921333,183483
17391.957506,185854
17391.989238,187933
17392.021233,190030
17392.057453,192404
17392.089300,194491
17392.125202,196844
17392.157134,198936
17392.189170,201036
17392.225325,203405
17392.257324,205502
17392.289366,207602
17392.325291,209956
17392.357334,212056
17392.393387,214419
17392.425575,216529
17392.457332,218610
17392.493374,220972
17392.525335,223066
17392.557483,225173
17392.593223,227515
17392.625239,229614
17392.661449,231987
17392.693402,234081
17392.725223,236166
17392.761282,238529
17392.793331,240629
17392.829480,242998
17392.861346,245087
17392.893454,247191
17392.929232,249536
17392.961324,251639
17392.993343,253737
17393.029138,256083
17393.061245,258187
17393.097296,260550
17393.129304,262647
17393.161260,264742
17393.197297,267103
17393.229237,269197
17393.261448,271308
17393.297350,273660
17393.329252,275751
17393.365267,278111
17393.397341,280213
17393.429178,282300
17393.465212,284661
17393.497370,286769
17393.529218,288856
17393.565372,291225
17393.597417,293325
17393.633317,295678
17393.665132,297763
17393.697258,299868
17393.733431,302239
17393.765418,304335
17393.797458,306435
17393.833340,308786
17393.865250,310878
17393.901566,313258
17393.933274,315336
17393.965225,317430
17394.001218,319788
17394.033281,321890
17394.065106,323975
17394.101339,326350
17394.133352,328448
17394.169143,330793
17394.201380,332906
17394.233497,335011
17394.269217,337352
17394.301407,339461
17394.337486,341826
17394.369489,343923
17394.401323,346009
17394.437077,348352
17394.469219,350459
17394.501241,352557
17394.537164,354912
17394.569161,357008
17394.605150,359367
17394.637327,361476
17394.669453,363581
17394.705364,365935
17394.737150,368018
17394.769275,370123
17394.805158,372475
17394.837068,374566
17394.873191,376933
17394.905377,379042
17394.937283,381133
17394.973159,383484
17395.005520,385605
17395.037127,387677
17395.073498,390060
17395.105376,392149
17395.141354,394507
17395.173166,396592
17395.205193,398691
17395.241468,401068
17395.273456,403164
17395.305464,405262
17395.341278,407609
