key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,21.11.2023
Export Time,16:30:25
Frame Index Range:,0 - 27
Relative Time Range,00:00.000 - 00:00.876
Absolute Time Range,-875538.3155599999 - -875537.43881
