key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.11.2023
Export Time,15:19:19
Frame Index Range:,0 - 186
Relative Time Range,00:00.000 - 00:06.223
Absolute Time Range,17373.901834 - 17380.12513
