# timestamps [seconds],pts
8543.192964,0
8543.221790,1889
8543.244849,3400
8543.269480,5014
8543.305530,7377
8543.337487,9471
8543.370015,11603
8543.405541,13931
8543.437547,16028
8543.473626,18393
8543.505524,20483
8543.537538,22581
8543.573535,24940
8543.605580,27040
8543.637485,29131
8543.673518,31493
8543.705510,33589
8543.741659,35958
8543.773635,38054
8543.805629,40151
8543.841528,42503
8543.873608,44606
8543.905529,46697
8543.941634,49064
8543.973521,51153
8544.009539,53514
8544.041479,55607
8544.073629,57714
