# timestamps [seconds],pts
8536.661489,0
8536.699448,2487
8536.722254,3982
8536.743361,5365
8536.769379,7070
8536.801398,9168
8536.837519,11536
8536.869573,13636
8536.905500,15991
8536.937547,18091
8536.969508,20186
8537.005547,22547
8537.037581,24647
8537.069574,26743
8537.105710,29112
8537.137730,31210
8537.173659,33565
8537.205511,35652
8537.237574,37753
8537.273551,40111
8537.305549,42208
8537.337678,44314
8537.373609,46668
8537.405619,48766
8537.441469,51115
8537.473660,53225
8537.505528,55314
8537.541626,57679
8537.573691,59781
8537.605836,61887
