gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
8544.858504,1,0.9904506206512451,0.4103439796597588,0.8170056408702857,8544.860565-0 8544.856443-1,-45.721567006235354,-112.7900978215786,315.92692147315665,19.778558427323542,14.309428748037307,-23.99802588978671,-0.1776328132991272,-0.35399105235882883,0.9182248735954206,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01570777031749883,-0.3412006300589845,0.9398592426523265
8544.862485000001,1,0.9904056489467621,0.41044324175451097,0.8170651741705033,8544.860565-0 8544.864405-1,-45.49793089629929,-112.38900587609993,314.75388337707204,19.778558427323542,14.309428748037307,-23.99802588978671,-0.1776328132991272,-0.35399105235882883,0.9182248735954206,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.015143117410773843,-0.3413863138667259,0.9398010803885963
8544.866468,1,0.9984277486801147,0.40957882594515926,0.8172143236591636,8544.868531-0 8544.864405-1,-45.43938618796447,-111.14741237181747,311.073089409403,19.778558427323542,14.309428748037307,-23.99802588978671,-0.17934283489675384,-0.35454145975268647,0.9176799555878018,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.015143117410773843,-0.3413863138667259,0.9398010803885963
8544.8705205,1,1.0,0.4093943791639746,0.8175639529050946,8544.868531-0 8544.872510000001-1,-45.849024880365874,-112.01246925109982,313.14851590373996,19.778558427323542,14.309428748037307,-23.99802588978671,-0.17934283489675384,-0.35454145975268647,0.9176799555878018,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.016187664866894345,-0.3418049896181667,0.939631474876338
8544.8744975,2,1.0,0.40983814121429496,0.8179521461690732,8544.876485-0 8544.872510000001-1,-45.8819695425762,-112.79852177419099,315.0083407273486,19.778558427323542,14.309428748037307,-23.99802588978671,-0.17846239448890489,-0.3550226740043829,0.9176655571045826,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.016187664866894345,-0.3418049896181667,0.939631474876338
8544.878443000001,2,1.0,0.4098559145560161,0.8177000494806559,8544.876485-0 8544.880401-1,-45.84358064853448,-112.65097765600521,314.8378766246468,19.778558427323542,14.309428748037307,-23.99802588978671,-0.17846239448890489,-0.3550226740043829,0.9176655571045826,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01609041065365111,-0.3414020299841281,0.9397796298110072
8544.882487,2,1.0,0.4080661880196444,0.817644002604699,8544.884573000001-0 8544.880401-1,-45.71576655625729,-109.99546459107918,307.33811934816447,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18199832320001058,-0.3555612107372591,0.9167621478723033,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01609041065365111,-0.3414020299841281,0.9397796298110072
8544.8864865,2,1.0,0.40790268133208024,0.8175728412750177,8544.884573000001-0 8544.8884-1,-46.08039886296268,-110.64226877380548,309.1999021402045,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18199832320001058,-0.3555612107372591,0.9167621478723033,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01702620532931417,-0.34114078323582275,0.9398580075444023
8544.890443,2,0.9909790456295013,0.4083727677458553,0.8184933396298543,8544.892486-0 8544.8884-1,-46.11684442906096,-111.61110920029243,311.0744299709006,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18106529472437372,-0.35690586336647856,0.9164243360698165,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01702620532931417,-0.34114078323582275,0.9398580075444023
8544.894465000001,2,0.9909790456295013,0.4081837461351826,0.8192654898124159,8544.892486-0 8544.896444-1,-46.540226161632866,-112.62349219768697,313.15029356448815,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18106529472437372,-0.35690586336647856,0.9164243360698165,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.018094906102190507,-0.3422572605512297,0.9394320315877678
8544.898488,2,1.0,0.40848604673959804,0.8207293587051271,8544.900532000001-0 8544.896444-1,-46.56682286056285,-113.52956670157751,314.3020870133292,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18045917005921616,-0.3592034775903039,0.9156458647471579,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.018094906102190507,-0.3422572605512297,0.9394320315877678
8544.902541000001,3,1.0,0.40866421972070965,0.8208015824471159,8544.900532000001-0 8544.904550000001-1,-46.16065852650715,-112.79466176227284,312.2129102203392,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18045917005921616,-0.3592034775903039,0.9156458647471579,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.017076225640776887,-0.3425308586374529,0.9393513790903566
8544.9065615,3,0.9557870626449585,0.4085233991610043,0.8213134780858784,8544.908573-0 8544.904550000001-1,-46.15055827846726,-112.73997819046592,311.5708301485604,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18073412349782947,-0.3600918740817294,0.9152426010756816,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.017076225640776887,-0.3425308586374529,0.9393513790903566
8544.910573000001,3,0.9557870626449585,0.4086417469537015,0.820638394712049,8544.908573-0 8544.912573000001-1,-45.888911115673665,-112.05223624197603,310.3086569286718,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18073412349782947,-0.3600918740817294,0.9152426010756816,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.016410353642716674,-0.3415122114746734,0.9397340632897156
8544.914574500002,3,0.9998164176940918,0.4078641416278983,0.8205659001576209,8544.916576000001-0 8544.912573000001-1,-45.832926283263504,-110.8900226138471,307.09998885107075,19.778558427323542,14.309428748037307,-23.99802588978671,-0.1822680853091935,-0.3602425258264077,0.9148790453737206,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.016410353642716674,-0.3415122114746734,0.9397340632897156
8544.9185655,3,0.9998164176940918,0.40753699243454944,0.8210304021552229,8544.916576000001-0 8544.920555-1,-46.56484182193097,-112.37720432579712,310.75920613267726,19.778558427323542,14.309428748037307,-23.99802588978671,-0.1822680853091935,-0.3602425258264077,0.9148790453737206,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01827582238671909,-0.3420006833937062,0.9395219672122238
8544.922566500001,3,1.0,0.40747101891400295,0.821522892745381,8544.924578-0 8544.920555-1,-46.56013673334622,-112.42895935675489,310.43720493931073,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18239499474389978,-0.3610726251916434,0.9145264486222295,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01827582238671909,-0.3420006833937062,0.9395219672122238
8544.926562,3,1.0,0.40749033449747313,0.8217177218670845,8544.924578-0 8544.928546000001-1,-46.51499064181488,-112.4034656318118,310.18657540596644,19.778558427323542,14.309428748037307,-23.99802588978671,-0.18239499474389978,-0.3610726251916434,0.9145264486222295,-40.01800954007615,14.29280032133951,-23.521765890335235,-0.01816238377697842,-0.34234066179216116,0.9394003401634701
