# timestamps [seconds],pts
8526.860716,0
8526.902463,2735
8526.926905,4337
8526.949451,5815
8526.985458,8174
8527.017565,10279
8527.053597,12640
8527.085596,14737
8527.117580,16833
8527.153541,19190
8527.185507,21285
8527.217502,23381
8527.253647,25750
8527.285779,27856
8527.321571,30202
8527.353539,32297
8527.385530,34393
8527.421590,36756
8527.453568,38852
8527.485480,40943
8527.521516,43305
8527.553565,45405
8527.589657,47771
8527.621621,49865
8527.653581,51960
8527.689576,54319
8527.721581,56416
8527.753547,58511
8527.789484,60866
