# timestamps [seconds],pts
8538.328137,0
8538.354123,1702
8538.377374,3226
8538.413586,5599
8538.445593,7697
8538.477597,9794
8538.513561,12151
8538.545536,14247
8538.577498,16341
8538.613594,18707
8538.645622,20806
8538.681690,23170
8538.713563,25258
8538.745619,27359
8538.781622,29719
8538.813636,31817
8538.845656,33915
8538.881663,36275
8538.913531,38363
8538.949456,40718
8538.981523,42819
8539.013532,44917
8539.049659,47284
8539.081703,49384
8539.113526,51470
8539.149522,53829
8539.181642,55934
8539.217468,58282
