key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.11.2023
Export Time,15:21:14
Frame Index Range:,0 - 185
Relative Time Range,00:00.000 - 00:06.213
Absolute Time Range,17472.904192 - 17479.117202
