key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.11.2023
Export Time,15:20:05
Frame Index Range:,0 - 2836
Relative Time Range,00:00.000 - 01:35.042
Absolute Time Range,17277.478376 - 17372.52116
