# timestamps [seconds],pts
17381.513606,0
17381.536286,1486
17381.569127,3638
17381.601270,5745
17381.633312,7844
17381.669407,10210
17381.701342,12303
17381.737227,14655
17381.769382,16762
17381.801365,18858
17381.837307,21213
17381.869243,23306
17381.901278,25406
17381.937105,27754
17381.969167,29855
17382.005120,32211
17382.037135,34309
17382.069310,36418
17382.105427,38784
17382.137430,40882
17382.169323,42972
17382.205412,45337
17382.237089,47413
17382.273240,49782
17382.305165,51874
17382.337082,53966
17382.373153,56330
17382.405358,58440
17382.437337,60536
17382.473387,62899
17382.505315,64991
17382.541404,67356
17382.573351,69450
17382.605362,71548
17382.641424,73911
17382.673367,76004
17382.705401,78104
17382.741289,80456
17382.773117,82542
17382.809314,84914
17382.841345,87013
17382.873422,89115
17382.909319,91468
17382.941403,93570
17382.977239,95919
17383.009483,98032
17383.041319,100118
17383.077419,102484
17383.109322,104575
17383.141259,106668
17383.177355,109033
17383.209237,111123
17383.245004,113467
17383.277310,115584
17383.309457,117691
17383.345308,120040
17383.377244,122133
17383.409309,124234
17383.445282,126592
17383.477426,128698
17383.513384,131055
17383.545175,133138
17383.577248,135240
17383.613338,137605
17383.645349,139703
17383.677225,141792
17383.713236,144152
17383.745260,146251
17383.781175,148605
17383.813151,150700
17383.845140,152797
17383.881486,155179
17383.913500,157277
17383.945504,159374
17383.981289,161719
17384.013204,163811
17384.049421,166184
17384.081508,168287
17384.113331,170372
17384.149068,172715
17384.181137,174816
17384.213079,176909
17384.249213,179278
17384.281393,181386
17384.317378,183745
17384.349402,185843
17384.381362,187938
17384.417427,190301
17384.449354,192394
17384.481440,194497
17384.517446,196856
17384.549313,198945
17384.585191,201296
17384.617334,203402
17384.649105,205484
17384.685238,207852
17384.717298,209953
17384.753302,212313
17384.785422,214418
17384.817350,216510
17384.853325,218868
17384.885369,220968
17384.917290,223060
17384.953469,225431
17384.985544,227533
17385.021186,229869
17385.053494,231986
17385.085186,234063
17385.121171,236421
17385.153116,238515
17385.185313,240625
17385.221260,242981
17385.253346,245083
17385.289259,247437
17385.321271,249535
17385.353353,251637
17385.389342,253996
17385.421330,256092
17385.453560,258204
17385.489390,260553
17385.521256,262641
17385.557123,264991
17385.589096,267087
17385.621102,269184
17385.657465,271567
17385.689456,273664
17385.721349,275754
17385.757383,278115
17385.789265,280205
17385.825517,282581
17385.857355,284667
17385.889476,286772
17385.925263,289117
17385.957278,291216
17385.989249,293311
17386.025340,295676
17386.057070,297755
17386.093171,300121
17386.125215,302221
17386.157264,304322
17386.193353,306687
17386.225230,308776
17386.261521,311154
17386.293523,313251
17386.325388,315340
17386.361356,317697
17386.393441,319799
17386.425393,321893
17386.461233,324242
17386.493234,326339
17386.529138,328692
17386.561195,330793
17386.593424,332905
17386.629137,335246
17386.661308,337354
17386.693426,339459
17386.729402,341817
17386.761403,343914
17386.797300,346266
17386.829303,348364
17386.861348,350464
17386.897500,352833
17386.929142,354907
17386.961182,357006
17386.997053,359357
17387.029187,361463
17387.065202,363823
17387.097354,365930
17387.129290,368023
17387.165385,370389
17387.197316,372481
17387.229336,374580
17387.265193,376930
17387.297388,379040
17387.333515,381407
17387.365440,383499
17387.397092,385574
17387.433193,387940
17387.465044,390027
17387.497348,392144
17387.533191,394493
17387.565296,396597
17387.601653,398980
17387.633495,401066
17387.665362,403155
17387.701355,405514
17387.733319,407608
