# timestamps [seconds],pts
17450.011302,0
17450.035186,1565
17450.061298,3276
17450.097162,5626
17450.129137,7722
17450.165270,10090
17450.197067,12174
17450.229060,14270
17450.265438,16654
17450.297362,18746
17450.329326,20841
17450.365379,23204
17450.397130,25285
17450.433535,27671
17450.465405,29759
17450.497367,31854
17450.533255,34206
17450.565167,36297
17450.601207,38659
17450.633315,40763
17450.665130,42848
17450.701528,45233
17450.733395,47322
17450.765430,49421
17450.801447,51782
17450.833363,53873
17450.869513,56242
17450.901493,58338
17450.933515,60437
17450.969367,62786
17451.001329,64881
17451.033297,66976
17451.069225,69330
17451.101396,71439
17451.137422,73800
17451.169476,75900
17451.201638,78008
17451.237110,80333
17451.269424,82451
17451.301485,84552
17451.337255,86896
17451.369234,88992
17451.405187,91348
17451.437225,93447
17451.469268,95547
17451.505287,97908
17451.537244,100002
17451.569254,102100
17451.605181,104454
17451.637105,106546
17451.673202,108912
17451.705338,111018
17451.737136,113102
17451.773390,115478
17451.805531,117584
17451.837402,119673
17451.873433,122034
17451.905346,124126
17451.941197,126475
17451.973157,128570
17452.005038,130659
17452.041429,133044
17452.073542,135148
17452.105511,137243
17452.141248,139586
17452.173123,141674
17452.209433,144054
17452.241507,146156
17452.273540,148255
17452.309357,150603
17452.341378,152701
17452.377223,155050
17452.409269,157150
17452.441239,159245
17452.477328,161611
17452.509510,163720
17452.541648,165826
17452.577286,168161
17452.609360,170263
17452.645442,172628
17452.677533,174731
17452.709384,176818
17452.745343,179175
17452.777339,181272
17452.809307,183367
17452.845143,185715
17452.877281,187821
17452.913269,190180
17452.945208,192273
17452.977265,194374
17453.013130,196724
17453.045142,198822
17453.077372,200934
17453.113444,203298
17453.145412,205393
17453.181280,207744
17453.213089,209829
17453.245056,211924
17453.281509,214313
17453.313345,216399
17453.345259,218490
17453.381168,220844
17453.413154,222940
17453.449147,225299
17453.481406,227413
17453.513468,229514
17453.549408,231869
17453.581378,233964
17453.613349,236060
17453.649072,238401
17453.681441,240522
17453.717404,242879
17453.749333,244971
17453.781165,247057
17453.817283,249424
17453.849185,251515
17453.885128,253871
17453.917248,255976
17453.949214,258071
17453.985496,260448
17454.017501,262546
17454.049471,264641
17454.085439,266998
17454.117269,269084
17454.153456,271456
17454.185583,273561
17454.217569,275657
17454.253373,278004
17454.285382,280101
17454.317126,282182
17454.353199,284546
17454.385321,286651
17454.421450,289019
17454.453503,291119
17454.485604,293223
17454.521308,295563
17454.553293,297659
17454.585386,299762
17454.621227,302111
17454.653478,304225
17454.689440,306581
17454.721231,308665
17454.753144,310756
17454.789127,313114
17454.821204,315216
17454.853307,317320
17454.889476,319691
17454.921370,321781
17454.957200,324129
17454.989278,326231
17455.021220,328324
17455.057437,330698
17455.089495,332799
17455.121323,334885
17455.157243,337239
17455.189187,339332
17455.225287,341698
17455.257031,343778
17455.289348,345896
17455.325475,348264
17455.357411,350357
17455.389443,352456
17455.425420,354814
17455.457375,356908
17455.493548,359278
17455.525530,361374
17455.557460,363467
17455.593514,365830
17455.625427,367921
17455.661310,370273
17455.693238,372365
17455.725221,374461
17455.761299,376826
17455.793414,378930
17455.825374,381025
17455.861423,383387
17455.893310,385477
17455.929433,387844
17455.961445,389942
17455.993508,392043
17456.029298,394389
17456.061416,396494
17456.093522,398598
17456.129288,400942
17456.161137,403029
17456.197025,405381
17456.229216,407490
17456.261390,409599
