# timestamps [seconds],pts
17419.556394,0
17419.584457,1839
17419.609124,3455
17419.637189,5294
17419.669251,7396
17419.701225,9491
17419.737141,11845
17419.769156,13943
17419.801255,16046
17419.837458,18419
17419.869477,20517
17419.905458,22875
17419.937303,24962
17419.969228,27055
17420.005550,29435
17420.037240,31512
17420.073455,33885
17420.105318,35973
17420.137067,38054
17420.173109,40416
17420.205466,42536
17420.237170,44614
17420.273409,46989
17420.305488,49091
17420.341351,51442
17420.373209,53529
17420.405053,55616
17420.441487,58004
17420.473494,60102
17420.505549,62202
17420.541402,64552
17420.573179,66635
17420.609202,68995
17420.641237,71095
17420.673271,73194
17420.709447,75565
17420.741345,77655
17420.773274,79748
17420.809254,82106
17420.841398,84212
17420.877315,86566
17420.909458,88673
17420.941374,90764
17420.977258,93116
17421.009430,95224
17421.041414,97320
17421.077252,99669
17421.109282,101768
17421.145196,104122
17421.177297,106225
17421.209584,108341
17421.245054,110666
17421.277379,112784
17421.309378,114881
17421.345398,117242
17421.377401,119339
17421.413228,121687
17421.445107,123776
17421.477319,125887
17421.513392,128251
17421.545241,130339
17421.581109,132689
17421.613187,134791
17421.645015,136877
17421.681315,139256
17421.713349,141356
17421.745197,143443
17421.781335,145811
17421.813310,147906
17421.849229,150260
17421.881301,152362
17421.913368,154464
17421.949545,156835
17421.981371,158920
17422.013135,161002
17422.049029,163354
17422.081323,165471
17422.117290,167828
17422.149339,169928
17422.181167,172014
17422.217496,174395
17422.249556,176496
17422.281496,178589
17422.317184,180928
17422.349254,183030
17422.385460,185402
17422.417483,187501
17422.449098,189573
17422.485292,191945
17422.517127,194031
17422.549122,196128
17422.585370,198503
17422.617368,200600
17422.653438,202964
17422.685473,205064
17422.717363,207154
17422.753251,209506
17422.785241,211602
17422.817391,213709
17422.853320,216064
17422.885349,218163
17422.921192,220512
17422.953116,222604
17422.985218,224707
17423.020990,227052
17423.053394,229175
17423.085431,231275
17423.121355,233629
17423.153384,235728
17423.189272,238080
17423.221257,240176
17423.253474,242288
17423.289507,244649
17423.321401,246739
17423.357327,249094
17423.389039,251172
17423.421024,253268
17423.457178,255637
17423.489178,257734
17423.521181,259832
17423.557325,262201
17423.589271,264294
17423.625429,266664
17423.657233,268748
17423.689311,270850
17423.725322,273210
17423.757432,275315
17423.789313,277404
17423.825408,279769
17423.857326,281861
17423.893114,284206
17423.925145,286306
17423.957206,288407
17423.993368,290777
17424.025495,292882
17424.057349,294970
17424.093410,297333
17424.125382,299428
17424.161375,301787
17424.193493,303892
17424.225562,305993
17424.261533,308351
17424.293402,310439
17424.325237,312526
17424.361247,314886
17424.393275,316984
17424.429232,319341
17424.461426,321451
17424.493280,323538
17424.529213,325893
17424.561194,327989
17424.593375,330098
17424.629200,332446
17424.661509,334563
17424.697340,336911
17424.729307,339006
17424.761240,341099
17424.797094,343449
17424.829028,345542
17424.864991,347898
17424.897440,350025
17424.929329,352115
17424.965263,354470
17424.997144,356559
17425.029113,358654
17425.065400,361032
17425.097510,363137
17425.133373,365487
17425.165327,367581
17425.197209,369670
17425.233304,372036
17425.265247,374129
17425.297251,376227
17425.333197,378582
17425.365181,380678
17425.401302,383046
17425.433295,385142
17425.465168,387231
17425.501508,389613
17425.533324,391698
17425.565377,393798
17425.601390,396158
17425.633390,398255
17425.669486,400621
17425.701464,402717
17425.733222,404798
17425.769106,407150
17425.801172,409251
