# timestamps [seconds],pts
17488.059300,0
17488.097028,2472
17488.119365,3936
17488.138141,5166
17488.165333,6948
17488.197440,9053
17488.233358,11406
17488.265201,13493
17488.297333,15599
17488.333565,17973
17488.365318,20054
17488.397169,22142
17488.433244,24506
17488.465182,26599
17488.501291,28965
17488.533178,31055
17488.565199,33154
17488.601458,35530
17488.633632,37638
17488.665419,39722
17488.701289,42072
17488.733314,44171
17488.769393,46535
17488.801498,48639
17488.833365,50728
17488.869299,53083
17488.901180,55172
17488.933259,57274
17488.969325,59638
17489.001383,61739
17489.037341,64095
17489.069557,66207
17489.101359,68291
17489.137308,70647
17489.169273,72742
17489.201388,74846
17489.237327,77201
17489.269484,79309
17489.305406,81663
17489.337078,83739
17489.369197,85844
17489.405146,88200
17489.437195,90300
17489.473570,92684
17489.505616,94784
17489.537314,96861
17489.573137,99209
17489.605274,101315
17489.637267,103412
17489.673601,105793
17489.705473,107881
17489.741416,110237
17489.773114,112314
17489.805049,114407
17489.841257,116780
17489.873216,118874
17489.905504,120990
17489.941548,123353
17489.973314,125434
17490.009242,127789
17490.041387,129896
17490.073439,131996
17490.109495,134359
17490.141317,136444
17490.173262,138538
17490.209447,140909
17490.241315,142998
17490.277211,145350
17490.309164,147444
17490.341197,149544
17490.377395,151916
17490.409549,154023
17490.441565,156121
17490.477338,158466
17490.509394,160566
17490.545310,162920
17490.577362,165021
17490.609458,167124
17490.645043,169456
17490.677455,171580
17490.709271,173665
17490.745237,176022
17490.777217,178118
17490.813324,180484
17490.845301,182580
17490.877489,184690
17490.913191,187029
17490.945203,189127
17490.981399,191499
17491.013220,193585
17491.045271,195685
17491.081418,198054
17491.113352,200147
17491.145338,202243
17491.181066,204584
17491.213086,206683
17491.249036,209039
17491.281188,211146
17491.313468,213261
17491.349284,215609
17491.381123,217695
17491.413130,219793
17491.449411,222170
17491.481556,224277
17491.517154,226610
17491.549233,228712
17491.581189,230806
17491.617515,233187
17491.649191,235263
17491.681171,237359
17491.717150,239717
17491.749297,241823
17491.785286,244182
17491.817346,246283
17491.849262,248375
17491.885456,250747
17491.917481,252845
17491.949415,254938
17491.985452,257300
17492.017469,259398
17492.053532,261761
17492.085544,263859
17492.117175,265932
17492.153151,268290
17492.185285,270396
17492.217481,272506
17492.253424,274861
17492.285410,276958
17492.321434,279318
17492.353402,281413
17492.385490,283516
17492.421092,285850
17492.453400,287967
17492.489538,290335
17492.521495,292429
17492.553387,294519
17492.589103,296860
17492.621146,298960
17492.653226,301062
17492.689330,303429
17492.721182,305516
17492.757334,307885
17492.789372,309985
17492.821336,312080
17492.857278,314435
17492.889376,316539
17492.921283,318630
17492.957422,320998
17492.989354,323091
17493.025478,325458
17493.057224,327538
17493.089247,329637
17493.125136,331989
17493.157269,334095
17493.189177,336186
17493.225434,338562
17493.257365,340655
17493.293392,343016
17493.325278,345105
17493.357387,347210
17493.393495,349576
17493.425495,351673
17493.457392,353763
17493.493390,356123
17493.525157,358204
17493.561137,360562
17493.593264,362668
17493.625365,364772
17493.661391,367133
17493.693435,369233
17493.725160,371312
17493.761335,373682
17493.793207,375771
17493.829226,378132
17493.861428,380242
17493.893242,382327
17493.929277,384688
17493.961274,386785
17493.993304,388884
17494.029117,391231
17494.061228,393336
17494.097407,395707
17494.129452,397807
17494.161368,399899
17494.197093,402240
17494.229201,404344
17494.265396,406716
17494.297527,408822
17494.329242,410900
