# timestamps [seconds],pts
17396.706019,0
17396.742747,2406
17396.763179,3745
17396.781028,4915
17396.813053,7014
17396.849388,9395
17396.881519,11501
17396.917191,13839
17396.949232,15938
17396.981256,18037
17397.017605,20419
17397.049381,22502
17397.081485,24606
17397.117297,26953
17397.149183,29042
17397.185275,31408
17397.217234,33502
17397.249136,35593
17397.285157,37953
17397.317302,40060
17397.349240,42153
17397.385307,44517
17397.417286,46612
17397.453381,48978
17397.485397,51076
17397.517403,53174
17397.553256,55523
17397.585255,57620
17397.621264,59980
17397.653375,62084
17397.685444,64186
17397.721163,66527
17397.753183,68625
17397.785284,70729
17397.821149,73080
17397.853432,75195
17397.889468,77557
17397.921428,79651
17397.953515,81754
17397.989236,84095
17398.021253,86193
17398.053422,88302
17398.089370,90657
17398.121238,92746
17398.157258,95106
17398.189144,97196
17398.221128,99292
17398.257037,101645
17398.289337,103762
17398.321262,105854
17398.357194,108209
17398.389328,110315
17398.425336,112675
17398.457145,114760
17398.489204,116861
17398.525298,119226
17398.557351,121327
17398.589271,123418
17398.625515,125794
17398.657062,127861
17398.693191,130229
17398.725173,132325
17398.757261,134428
17398.793366,136794
17398.825462,138897
17398.857281,140982
17398.893373,143348
17398.925333,145442
17398.961400,147806
17398.993377,149902
17399.025535,152009
17399.061378,154358
17399.093255,156447
17399.129208,158803
17399.161182,160899
17399.193293,163003
17399.229166,165354
17399.261360,167464
17399.293497,169570
17399.329297,171916
17399.361327,174015
17399.397407,176380
17399.429501,178483
17399.461497,180580
17399.497372,182931
17399.529269,185021
17399.561149,187110
17399.597103,189467
17399.629079,191562
17399.665124,193924
17399.697576,196051
17399.729205,198124
17399.765281,200488
17399.797222,202581
17399.829293,204683
17399.865644,207066
17399.897465,209151
17399.933307,211500
17399.965473,213608
17399.997207,215688
17400.033304,218053
17400.065015,220131
17400.097245,222243
17400.133169,224598
17400.165354,226707
17400.201289,229062
17400.233288,231159
17400.265200,233250
17400.301631,235638
17400.333316,237714
17400.365390,239816
17400.401411,242177
17400.433296,244267
17400.469253,246623
17400.501274,248722
17400.533108,250808
17400.569173,253171
17400.601365,255281
17400.633365,257378
17400.669335,259735
17400.701388,261836
17400.737425,264198
17400.769296,266286
17400.801410,268391
17400.837252,270740
17400.869355,272844
17400.905269,275197
17400.937312,277297
17400.969250,279390
17401.005097,281740
17401.037041,283833
17401.069294,285947
17401.105219,288301
17401.137244,290400
17401.173325,292764
17401.205296,294860
17401.237234,296953
17401.273351,299320
17401.305629,301435
17401.337226,303506
17401.373380,305875
17401.405349,307970
17401.441345,310329
17401.473174,312415
17401.505298,314520
17401.541193,316873
17401.573153,318967
17401.605199,321067
17401.641434,323442
17401.673335,325533
17401.709316,327891
17401.741260,329984
17401.773207,332078
17401.809387,334449
17401.841395,336546
17401.873398,338644
17401.909222,340991
17401.941169,343085
17401.977163,345444
17402.009307,347550
17402.041341,349650
17402.077291,352006
17402.109437,354112
17402.141214,356195
17402.177265,358558
17402.209287,360656
17402.245234,363012
17402.277311,365114
17402.309387,367216
17402.345337,369572
17402.377300,371667
17402.413164,374017
17402.445110,376111
17402.477281,378219
17402.513477,380591
17402.545284,382676
17402.577454,384784
17402.613119,387121
17402.645152,389221
17402.681652,391613
17402.713487,393699
17402.745359,395788
17402.781268,398141
17402.813221,400235
17402.845088,402323
17402.881178,404689
17402.913127,406782
17402.949157,409144
17402.981588,411269
